,features,num_in_group,means
9,sarext,80,0.28421375
28,linearreg_slope,4,0.33225000000000005
65,adxr,30,0.3508066666666666
69,var,19,0.37809473684210526
66,minus_di,25,0.38982
40,sar,146,0.40002191780821916
82,mama,31,0.4057612903225807
57,sma,59,0.4153067796610169
71,midpoint,45,0.4209355555555556
73,adx,99,0.4222272727272727
25,linearreg_intercept,22,0.43518181818181817
6,aroonosc,83,0.43868313253012053
70,obv,74,0.4462635135135135
50,cmo,193,0.44955440414507775
59,macdfix_signal,26,0.45338076923076925
1,aroon_up,150,0.4549326666666667
23,linearreg,82,0.4576878048780488
38,volume,82,0.4613536585365854
81,aroon_down,341,0.46238123167155426
27,bbands_upper,121,0.46540000000000004
46,macd_signal,44,0.4709022727272727
74,stoch_slowk,50,0.474062
79,midprice,72,0.4741722222222222
29,stochf_fastk,490,0.47456367346938777
20,trima,18,0.47468333333333335
48,bop,926,0.4777438444924406
10,stochrsi_fastk,1138,0.47892495606326885
51,rsi,1142,0.4792514886164624
47,ht_dcperiod,54,0.4807425925925926
39,cci,130,0.4810753846153846
35,wma,55,0.48400181818181814
34,correl,32,0.4870125
19,stochrsi_fastd,726,0.4895353994490358
80,range,1208,0.4908281456953642
54,tema,73,0.4925589041095891
37,stochf_fastd,92,0.4928315217391304
61,willr,123,0.4961008130081301
41,roc,97,0.49621443298969076
24,dx,158,0.49704683544303796
16,plus_di,64,0.4991375
7,ema,189,0.500657671957672
63,ht_sine,50,0.502504
64,close,820,0.5033515853658537
14,ht_trendmode,331,0.5037383685800604
83,ppo,55,0.504710909090909
67,bbands_lower,65,0.5075092307692308
2,ultosc,48,0.5087208333333333
49,ma,476,0.5091701680672269
15,dema,109,0.5111348623853212
77,ht_leadsine,56,0.5131732142857144
5,adj close,124,0.5150250000000001
21,high,143,0.5152685314685315
22,open,160,0.5169174999999999
31,low,239,0.518405439330544
36,ht_trendline,54,0.5188351851851852
78,rocr,46,0.5196717391304349
18,ht_phasor_quadrature,92,0.5215032608695652
8,rocp,4,0.52225
55,ht_phasor_inphase,75,0.5249320000000001
33,macd,206,0.5254626213592234
52,bbands_middle,114,0.5255008771929824
75,tsf,124,0.5255709677419355
60,trange,469,0.5272341151385928
3,atr,412,0.5303179611650485
4,ad,451,0.5316618625277162
13,macdfix,122,0.5377598360655738
42,minus_dm,120,0.5426766666666666
43,stddev,34,0.5430705882352941
44,mfi,137,0.5488328467153285
76,trix,116,0.5489999999999999
0,natr,268,0.5522962686567164
12,mom,33,0.5597515151515151
53,rocr100,35,0.5649171428571428
26,macdfix_hist,75,0.5668826666666669
62,t3,39,0.5749256410256411
45,apo,51,0.588456862745098
56,linearreg_angle,28,0.5951178571428571
32,beta,29,0.6049758620689655
72,plus_dm,46,0.6058565217391304
68,macd_hist,52,0.6337596153846154
17,kama,60,0.6401933333333335
58,ht_dcphase,95,0.6731747368421053
11,adosc,120,0.6827333333333333
30,fama,35,0.7087171428571428
